Ticker,Bias,Bias Score,Return (Tech Only),Return (Gated),Sharpe (Tech Only),Sharpe (Gated),Improvement (%)
JPM,Bullish,0.4,1.1613191645291336,1.1613191645291336,0.7653552274485773,0.7653552274485773,0.0
V,Neutral,0.2,0.5476485650580691,0.5476485650580691,0.5035914073467347,0.5035914073467347,0.0
WMT,Bearish,-0.4,-0.2671017128423433,-0.5240623204478814,-0.18976026410881236,-0.8734504179167999,-25.696060760553806
PG,Neutral,0.0,0.21355826510066156,0.21355826510066156,0.31222424938596505,0.31222424938596505,0.0
UNH,Neutral,0.0,5.617613318898419,5.617613318898419,1.3673729299830737,1.3673729299830737,0.0
XOM,Neutral,-0.1,2.1179796805136575,2.1179796805136575,1.005054029864928,1.005054029864928,0.0
JNJ,Neutral,-0.2,0.5456220377580494,0.5456220377580494,0.6124119770756113,0.6124119770756113,0.0
KO,Neutral,0.2,-0.4238153556340478,-0.4238153556340478,-0.6205732928536708,-0.6205732928536708,0.0
ABBV,Bullish,0.4,1.1506192767339356,1.1506192767339356,0.7988612241993696,0.7988612241993696,0.0
BAC,Bullish,0.6,-0.28244385907616365,0.09536952667407395,-0.11733169256217098,0.192330174583373,37.78133857502376
